index,Rank,Twitter,Followers,Market Cap (ETH),MCap/Follower (ETH),Volume (ETH),Share Price (ETH),Share/Follower (ETH),Supply,Buys,Sells,Traders,Trades
0,1,0xRacerAlt,15285,705.6,0.046163,1141.41,3.14,0.000205,225,583,358.0,352,929
1,2,cobie,737870,470.6,0.000638,1631.75,2.4,3e-06,196,613,417.0,389,987
2,3,HsakaTrades,451606,346.58,0.000767,1135.24,1.96,4e-06,177,541,364.0,283,849
3,4,blknoiz06,121917,303.46,0.002489,612.25,1.79,1.5e-05,170,385,215.0,265,524
4,5,0xSisyphus,86004,301.68,0.003508,656.06,1.79,2.1e-05,169,465,296.0,313,741
5,6,Banks,2778053,256.0,9.2e-05,875.18,1.6,1e-06,160,410,250.0,225,590
6,7,iam4x,5151,248.08,0.048161,549.57,1.56,0.000303,159,479,320.0,349,785
7,8,zhusu,563539,241.87,0.000429,662.91,1.54,3e-06,157,465,308.0,284,725
8,9,xcurveth,13936,234.24,0.016809,303.68,1.5,0.000108,156,332,176.0,243,507
9,10,RookieXBT,383704,216.61,0.000565,473.67,1.43,4e-06,152,288,136.0,142,361
10,11,friendtechindex,980,165.44,0.168821,294.82,1.19,0.001215,139,318,179.0,230,492
11,12,Christianeth,25336,151.5,0.00598,90.31,1.12,4.4e-05,135,201,66.0,32,140
12,13,8892OS,4262,135.21,0.031724,56.96,1.04,0.000244,130,178,48.0,56,144
13,14,0xLawliette,10688,128.02,0.011978,184.55,1.01,9.4e-05,127,284,157.0,215,418
14,15,shrimppepe,3775,117.25,0.03106,195.79,0.95,0.00025,124,313,189.0,208,496
15,16,lBattleRhino,20883,92.6,0.004434,190.38,0.81,3.9e-05,114,234,120.0,162,304
17,18,CharlotteFang77,700828,83.94,0.00012,263.23,0.76,1e-06,111,299,188.0,150,384
18,19,Pentosh1,45799,76.57,0.001672,289.31,0.72,1.6e-05,107,273,166.0,150,360
19,19,Defi_Maestro,6449,76.57,0.011872,134.61,0.72,0.000111,107,222,115.0,149,295
20,21,saliencexbt,88994,74.44,0.000836,155.73,0.7,8e-06,106,259,153.0,159,397
21,22,graciehartie,108522,70.3,0.000648,167.52,0.68,6e-06,104,238,134.0,164,348
22,22,eth_ben,364268,70.3,0.000193,212.29,0.68,2e-06,104,314,210.0,131,476
23,24,bull_bnb,8721,65.03,0.007457,76.63,0.64,7.3e-05,102,190,88.0,86,231
24,25,0xCaptainLevi,216308,64.39,0.000298,97.62,0.64,3e-06,101,173,72.0,109,240
25,26,gainzy222,8307,62.5,0.007524,307.16,0.63,7.5e-05,100,409,309.0,268,678
26,27,degendevv,18211,60.64,0.00333,79.0,0.61,3.4e-05,99,200,101.0,165,301
27,28,timothyronald22,167117,59.42,0.000356,38.1,0.6,4e-06,99,146,47.0,91,171
28,29,KeyboardMonkey3,46796,57.63,0.001232,126.12,0.59,1.3e-05,98,248,150.0,163,361
29,30,NorthRockLP,209528,55.87,0.000267,174.77,0.58,3e-06,97,246,149.0,139,351
30,31,adamscochran,182986,53.59,0.000293,115.23,0.56,3e-06,95,245,150.0,137,370
31,32,TrustlessState,915129,50.81,5.6e-05,98.28,0.54,1e-06,94,232,138.0,151,324
32,33,MarioNawfal,138898,50.27,0.000362,165.23,0.54,4e-06,93,226,133.0,128,283
33,33,zeydcarey,7712,50.27,0.006519,71.71,0.54,7e-05,93,179,86.0,125,222
34,35,cryptojamie7,595811,45.56,7.6e-05,46.62,0.51,1e-06,90,138,48.0,90,182
35,35,CryptoKaleo,720696,45.56,6.3e-05,147.05,0.51,1e-06,90,277,187.0,213,459
36,37,cryptomanran,353394,44.56,0.000126,106.72,0.5,1e-06,90,202,112.0,108,259
38,38,garrytan,433581,43.08,9.9e-05,172.05,0.48,1e-06,89,222,133.0,107,272
39,40,Pancakesbrah,3166720,42.59,1.3e-05,86.97,0.48,0.0,88,224,136.0,172,360
40,41,zachxbt,251858,41.63,0.000165,174.52,0.47,2e-06,88,221,133.0,109,254
41,42,FaZe_Rain,290659,38.38,0.000132,231.39,0.45,2e-06,85,262,177.0,124,321
42,42,inversebrah,106547,38.38,0.00036,234.13,0.45,4e-06,85,238,153.0,132,311
43,42,CozomoMedici,257611,38.38,0.000149,151.8,0.45,2e-06,85,236,151.0,135,297
44,45,jebus911,128644,37.49,0.000291,69.42,0.44,3e-06,85,225,140.0,170,365
45,46,Melt_Dem,225048,36.17,0.000161,46.12,0.43,2e-06,84,174,90.0,101,219
46,46,icebergy_,238166,36.17,0.000152,149.75,0.43,2e-06,84,307,223.0,233,525
47,48,ColdBloodShill,375563,35.74,9.5e-05,142.19,0.43,1e-06,83,212,129.0,131,290
48,49,marenaltman,136709,34.46,0.000252,87.18,0.42,3e-06,82,278,196.0,189,409
49,49,Tradermayne,99019,34.46,0.000348,141.19,0.42,4e-06,82,232,150.0,129,306
50,49,0xfoobar,56886,34.46,0.000606,151.31,0.42,7e-06,82,306,224.0,211,502
51,49,Cryptoyieldinfo,503223,34.46,6.8e-05,55.48,0.42,1e-06,82,178,96.0,111,224
52,53,basedkarbon,210944,33.22,0.000157,74.03,0.41,2e-06,81,209,128.0,165,320
53,53,CryptoDonAlt,294636,33.22,0.000113,126.43,0.41,1e-06,81,285,204.0,193,459
54,53,frankdegods,72537,33.22,0.000458,171.33,0.41,6e-06,81,221,140.0,118,281
55,56,loomdart,436024,32.0,7.3e-05,153.18,0.4,1e-06,80,298,218.0,181,435
